,from,to
0,1371,"('1013', '1104', '1499', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
1,1499,"('1013', '1104', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
2,1378,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1473', '1118', '1363', '1249', '1110', '1149')"
3,1433,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
4,1300,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
5,1473,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1118', '1363', '1249', '1110', '1149')"
6,1363,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1249', '1110', '1149')"
7,1104,"('1013', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
10,1249,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1110', '1149')"
11,1149,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110')"
14,1312,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
15,1110,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1149')"
18,1295,"('1013', '1104', '1499', '1371', '1184', '1251', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
22,1118,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1363', '1249', '1110', '1149')"
47,1251,"('1013', '1104', '1499', '1371', '1184', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
60,1165,"('1013', '1104', '1499', '1371', '1184', '1251', '1295', '1312', '1433', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
72,1184,"('1013', '1104', '1499', '1371', '1251', '1295', '1312', '1433', '1165', '1300', '1378', '1473', '1118', '1363', '1249', '1110', '1149')"
